iter	Passed	Remaining
0	59	59345
1	60	29985
2	60	20130
3	61	15195
4	61	12239
5	62	10278
6	62	8866
7	62	7803
8	63	6979
9	63	6318
10	64	5780
11	64	5329
12	65	4948
13	65	4622
14	66	4338
15	66	4090
16	66	3872
17	67	3677
18	67	3502
19	68	3346
20	68	3203
21	69	3073
22	69	2956
23	70	2849
24	70	2750
25	70	2658
26	71	2573
27	71	2495
28	72	2421
29	72	2352
30	73	2288
31	73	2227
32	74	2170
33	74	2117
34	75	2071
35	75	2024
36	75	1975
37	76	1934
38	76	1895
39	77	1857
40	77	1820
41	78	1785
42	78	1752
43	79	1720
44	79	1690
45	80	1660
46	80	1633
47	80	1604
48	81	1578
49	81	1554
50	82	1530
51	82	1511
52	83	1489
53	83	1468
54	84	1447
55	84	1424
56	84	1405
57	85	1387
58	85	1370
59	86	1353
60	86	1336
61	87	1317
62	87	1303
63	88	1288
64	88	1275
65	89	1261
66	89	1248
67	90	1234
68	90	1223
69	91	1210
70	91	1197
71	92	1187
72	92	1175
73	93	1163
74	93	1152
75	93	1141
76	94	1130
77	94	1120
78	95	1110
79	95	1100
80	96	1090
81	96	1081
82	97	1072
83	97	1064
84	98	1055
85	98	1046
86	98	1036
87	99	1029
88	99	1021
89	100	1013
90	100	1005
91	101	997
92	101	992
93	102	984
94	102	977
95	103	970
96	103	963
97	103	957
98	104	950
99	104	943
100	105	937
101	105	931
102	106	925
103	106	919
104	107	913
105	107	908
106	108	902
107	108	897
108	109	891
109	109	886
110	110	881
111	110	876
112	111	872
113	111	867
114	112	862
115	112	857
116	113	852
117	113	848
118	113	843
119	114	839
120	114	834
121	115	830
122	115	825
123	116	821
124	116	816
125	117	812
126	117	808
127	118	804
128	118	800
129	119	796
130	119	792
131	119	789
132	120	785
133	120	781
134	121	777
135	121	773
136	122	771
137	122	767
138	123	763
139	123	760
140	124	756
141	124	753
142	125	749
143	125	746
144	126	743
145	126	740
146	127	737
147	127	734
148	128	731
149	128	728
150	128	724
151	129	721
152	129	719
153	130	716
154	130	713
155	131	710
156	131	707
157	132	704
158	132	702
